"Authority","Pothole and Challenge Fund","HMB needs","HMB incentive","ITB","Total","ons_code"
"Medway","1,925","2,048","427","1,589","5,989","E06000035"
"Bracknell Forest","1,103","1,369","285","720","3,477","E06000036"
"West Berkshire","3,048","3,472","723","910","8,153","E06000037"
"Reading","908","1,185","247","1,580","3,920","E06000038"
"Slough","708","727","151","1,349","2,935","E06000039"
"Windsor and Maidenhead","1,537","1,752","365","851","4,505","E06000040"
"Wokingham","1,815","2,136","445","734","5,130","E06000041"
"Milton Keynes","2,796","4,122","858","1,527","9,303","E06000042"
"Brighton and Hove","1,372","2,110","440","3,059","6,981","E06000043"
"Portsmouth","1,050","1,151","240","1,851","4,292","E06000044"
"Southampton","1,345","1,371","286","2,124","5,126","E06000045"
"Isle of Wight","2,116","0","0","1,418","3,534","E06000046"
"Buckinghamshire","7,573","8,449","1,760","2,257","20,039","E06000060"
"East Sussex UTLA","7,710","8,554","1,782","2,919","20,965","E10000011"
"Hampshire UTLA","19,766","21,584","4,495","5,296","51,141","E10000014"
"Kent UTLA","20,380","21,949","4,571","6,861","53,761","E10000016"
"Oxfordshire UTLA","11,083","13,434","2,798","3,688","31,003","E10000025"
"Surrey UTLA","12,497","13,449","2,801","4,784","33,531","E10000030"
"West Sussex UTLA","9,844","11,043","2,300","3,734","26,921","E10000032"
"Derby","1,713","1,782","371","1,811","5,677","E06000015"
"Leicester","1,882","2,102","438","2,556","6,978","E06000016"
"Rutland","1,295","1,535","320","458","3,608","E06000017"
"Nottingham","1,817","1,782","371","3,390","7,360","E06000018"
"Derbyshire UTLA","12,906","15,273","3,181","3,644","35,004","E10000007"
"Leicestershire UTLA","10,174","11,442","2,383","2,728","26,727","E10000018"
"Lincolnshire UTLA","20,909","24,955","5,197","3,312","54,373","E10000019"
"Northamptonshire UTLA","10,471","12,292","2,560","3,078","28,401","E10000021"
"Nottinghamshire UTLA","10,882","12,006","2,501","3,916","29,305","E10000024"
"Herefordshire, County of","7,674","9,272","1,931","1,069","19,946","E06000019"
"Telford and Wrekin","2,390","2,778","579","939","6,686","E06000020"
"Stoke-on-Trent","1,994","1,915","120","1,666","5,695","E06000021"
"Shropshire","11,570","13,275","2,765","1,626","29,236","E06000051"
"Staffordshire UTLA","14,283","16,154","3,365","3,423","37,225","E10000028"
"Warwickshire UTLA","9,199","10,421","2,171","2,637","24,428","E10000031"
"Worcestershire UTLA","9,769","12,076","2,515","2,405","26,765","E10000034"
"West Midlands CA","17,862","13,112","2,731","17,618","51,323","E47000007"
"Birmingham","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000025"
"Coventry","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000026"
"Dudley","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000027"
"Sandwell","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000028"
"Solihull","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000029"
"Walsall","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000030"
"Wolverhampton","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000031"
"Warrington","2,270","2,571","535","1,494","6,870","E06000007"
"Blackburn with Darwen","1,265","1,552","323","1,424","4,564","E06000008"
"Blackpool","1,048","966","201","1,720","3,935","E06000009"
"Cheshire East","6,855","8,409","1,751","1,987","19,002","E06000049"
"Cheshire West and Chester","5,581","6,398","1,333","1,954","15,266","E06000050"
"Cumbria UTLA","17,976","21,791","4,538","2,546","46,851","E10000006"
"Lancashire UTLA","15,891","18,567","3,867","6,054","44,379","E10000017"
"Greater Manchester CA","20,899","22,513","4,689","16,175","64,276","E47000001"
"Bolton","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000001"
"Bury","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000002"
"Manchester","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000003"
"Oldham","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000004"
"Rochdale","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000005"
"Salford","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000006"
"Stockport","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000007"
"Tameside","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000008"
"Trafford","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000009"
"Wigan","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","Money allocated to combined authority","E08000010"
"Liverpool City Region CA","12,663","13,610","2,835","10,069","39,177","E47000004"
